"region","technology","year"
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2040
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2045
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2050
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2055
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2060
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2065
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2070
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2075
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2080
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2085
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2090
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2095
"Africa_Eastern","coal (IGCC CCS) (recirculating)",2100
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",1975
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",1990
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2005
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2010
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2015
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2020
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2025
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2030
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2035
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2040
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2045
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2050
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2055
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2060
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2065
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2070
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2075
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2080
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2085
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2090
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2095
"Africa_Eastern","coal (IGCC CCS) (dry cooling)",2100
"Africa_Eastern","gas (steam/CT) (once through)",1975
"Africa_Eastern","gas (steam/CT) (once through)",1990
"Africa_Eastern","gas (steam/CT) (once through)",2005
"Africa_Eastern","gas (steam/CT) (once through)",2010
"Africa_Eastern","gas (steam/CT) (once through)",2015
"Africa_Eastern","gas (steam/CT) (once through)",2020
"Africa_Eastern","gas (steam/CT) (once through)",2025
"Africa_Eastern","gas (steam/CT) (once through)",2030
"Africa_Eastern","gas (steam/CT) (once through)",2035
"Africa_Eastern","gas (steam/CT) (once through)",2040
"Africa_Eastern","gas (steam/CT) (once through)",2045
"Africa_Eastern","gas (steam/CT) (once through)",2050
"Africa_Eastern","gas (steam/CT) (once through)",2055
"Africa_Eastern","gas (steam/CT) (once through)",2060
"Africa_Eastern","gas (steam/CT) (once through)",2065
"Africa_Eastern","gas (steam/CT) (once through)",2070
"Africa_Eastern","gas (steam/CT) (once through)",2075
"Africa_Eastern","gas (steam/CT) (once through)",2080
"Africa_Eastern","gas (steam/CT) (once through)",2085
"Africa_Eastern","gas (steam/CT) (once through)",2090
"Africa_Eastern","gas (steam/CT) (once through)",2095
"Africa_Eastern","gas (steam/CT) (once through)",2100
"Africa_Eastern","gas (steam/CT) (seawater)",1975
"Africa_Eastern","gas (steam/CT) (seawater)",1990
"Africa_Eastern","gas (steam/CT) (seawater)",2005
"Africa_Eastern","gas (steam/CT) (seawater)",2010
"Africa_Eastern","gas (steam/CT) (seawater)",2015
"Africa_Eastern","gas (steam/CT) (seawater)",2020
"Africa_Eastern","gas (steam/CT) (seawater)",2025
"Africa_Eastern","gas (steam/CT) (seawater)",2030
"Africa_Eastern","gas (steam/CT) (seawater)",2035
"Africa_Eastern","gas (steam/CT) (seawater)",2040
"Africa_Eastern","gas (steam/CT) (seawater)",2045
"Africa_Eastern","gas (steam/CT) (seawater)",2050
"Africa_Eastern","gas (steam/CT) (seawater)",2055
"Africa_Eastern","gas (steam/CT) (seawater)",2060
"Africa_Eastern","gas (steam/CT) (seawater)",2065
"Africa_Eastern","gas (steam/CT) (seawater)",2070
"Africa_Eastern","gas (steam/CT) (seawater)",2075
"Africa_Eastern","gas (steam/CT) (seawater)",2080
"Africa_Eastern","gas (steam/CT) (seawater)",2085
"Africa_Eastern","gas (steam/CT) (seawater)",2090
"Africa_Eastern","gas (steam/CT) (seawater)",2095
"Africa_Eastern","gas (steam/CT) (seawater)",2100
"Africa_Eastern","gas (steam/CT) (recirculating)",1975
"Africa_Eastern","gas (steam/CT) (recirculating)",1990
"Africa_Eastern","gas (steam/CT) (recirculating)",2005
"Africa_Eastern","gas (steam/CT) (recirculating)",2010
"Africa_Eastern","gas (steam/CT) (recirculating)",2015
"Africa_Eastern","gas (steam/CT) (recirculating)",2020
"Africa_Eastern","gas (steam/CT) (recirculating)",2025
"Africa_Eastern","gas (steam/CT) (recirculating)",2030
"Africa_Eastern","gas (steam/CT) (recirculating)",2035
"Africa_Eastern","gas (steam/CT) (recirculating)",2040
"Africa_Eastern","gas (steam/CT) (recirculating)",2045
"Africa_Eastern","gas (steam/CT) (recirculating)",2050
"Africa_Eastern","gas (steam/CT) (recirculating)",2055
"Africa_Eastern","gas (steam/CT) (recirculating)",2060
"Africa_Eastern","gas (steam/CT) (recirculating)",2065
"Africa_Eastern","gas (steam/CT) (recirculating)",2070
"Africa_Eastern","gas (steam/CT) (recirculating)",2075
"Africa_Eastern","gas (steam/CT) (recirculating)",2080
"Africa_Eastern","gas (steam/CT) (recirculating)",2085
"Africa_Eastern","gas (steam/CT) (recirculating)",2090
